CustomerID,CustomerCode,Customer Name,CustomerType,Age,MobileNumber,City,State,Country,Pincode,Occupation,IndustryType,AnnualIncome,IncomeBracket,CustomerRole,InterestedPropertyType,PreferredCity,BudgetMin,BudgetMax,AssignedAgentID,LeadSource,CustomerRating,SatisfactionScore,TotalPropertiesBought,TotalPropertiesLeased,FirstContactDate,LastInteractionDate,CustomerStatus,IsRepeatCustomer
11,CUST-0011,Aarohi Jain,Company,28,8917393344,Pune,Maharashtra,India,487567,Business,IT,2279212,10L+,Seller,Apartment,Pune,3333175,8581230,75,Website,3.2,3.3,0,1,2022-02-19,2024-08-28,Active,Yes
12,CUST-0012,Kavya Jain,Company,56,8984891757,Bangalore,Karnataka,India,541205,Self Employed,IT,1126386,10L+,Owner,Villa,Bangalore,3737946,11234447,37,Referral,4,4.8,0,2,2022-11-14,2025-02-19,Active,Yes
13,CUST-0013,Dev Chopra,Company,50,8472433630,Bangalore,Karnataka,India,495913,Self Employed,Manufacturing,4504880,0–5L,Tenant,Plot,Bangalore,4581785,17414231,25,Website,4.4,4.2,0,2,2021-04-21,2025-12-27,Active,Yes
14,CUST-0014,Sai Saxena,Company,54,8950013919,Hyderabad,Telangana,India,545879,Business,IT,1438266,0–5L,Buyer,Villa,Hyderabad,3467959,13595576,3,Referral,3.7,3.8,0,0,2024-01-24,2025-06-07,Active,No
15,CUST-0015,Harsh Agarwal,Individual,27,8735163457,Ahmedabad,Gujarat,India,419349,Salaried,Retail,604834,0–5L,Seller,Apartment,Ahmedabad,2785947,18772974,56,Referral,4.4,4.3,3,2,2022-10-01,2025-10-27,Active,No
16,CUST-0016,Pranav Desai,Individual,44,8399977529,Delhi,Delhi,India,573933,Business,Manufacturing,4921809,10L+,Buyer,Villa,Delhi,2552503,8947196,86,Referral,4.8,3.6,2,0,2022-01-15,2025-06-17,Active,No
17,CUST-0017,Aanya Singh,Company,29,8975990823,Ahmedabad,Gujarat,India,406588,Business,Retail,4884856,10L+,Buyer,Plot,Ahmedabad,4259489,10291369,83,Referral,4.6,4.7,2,0,2023-01-29,2024-06-25,Active,Yes
18,CUST-0018,Ira Kumar,Company,39,8386293626,Hyderabad,Telangana,India,466134,Business,IT,2844993,10L+,Buyer,Plot,Hyderabad,2859553,18586912,38,Ads,4.8,4.3,1,2,2022-11-04,2025-02-09,Active,No
19,CUST-0019,Tara Mahajan,Company,44,8690352061,Mumbai,Maharashtra,India,406197,Salaried,Manufacturing,1972457,10L+,Buyer,Plot,Mumbai,2974154,10953104,19,Website,4.8,4.9,1,0,2021-11-03,2025-03-29,Active,Yes
20,CUST-0020,Riya Malhotra,Individual,52,8671612764,Bangalore,Karnataka,India,516180,Business,Manufacturing,1933592,5–10L,Seller,Villa,Bangalore,2765374,17456603,63,Walk-in,3.1,3.3,2,2,2023-05-19,2024-10-06,Active,No
21,CUST-0021,Harsh Bhattacharya,Company,43,8663801952,Bangalore,Karnataka,India,390156,Salaried,Manufacturing,2333144,10L+,Seller,Plot,Bangalore,3395796,16702138,16,Website,4.9,3.9,1,2,2024-04-02,2025-12-20,Active,No
22,CUST-0022,Ananya Chopra,Individual,34,8361868804,Delhi,Delhi,India,558287,Business,Retail,4398146,10L+,Tenant,Plot,Delhi,3650108,16159027,26,Ads,4.1,4.2,0,2,2021-04-28,2024-10-24,Active,Yes
23,CUST-0023,Krishna Joshi,Company,49,8937838752,Bangalore,Karnataka,India,527551,Self Employed,Finance,1383669,10L+,Seller,Apartment,Bangalore,4970489,7566821,55,Website,3.1,4.1,3,1,2022-04-30,2024-11-25,Active,No
24,CUST-0024,Kavya Saxena,Individual,49,8833300147,Pune,Maharashtra,India,474576,Self Employed,Retail,400926,10L+,Tenant,Villa,Pune,3180579,14140218,24,Referral,4.4,4.5,3,2,2024-07-11,2024-01-16,Active,No
25,CUST-0025,Riya Sharma,Company,43,8115314900,Hyderabad,Telangana,India,467625,Salaried,Retail,3686344,5–10L,Investor,Apartment,Hyderabad,4509841,11225150,100,Ads,3.3,3.8,1,2,2024-11-12,2025-11-27,Active,No
26,CUST-0026,Navya Singh,Company,51,8244287105,Mumbai,Maharashtra,India,381881,Business,IT,3460301,5–10L,Investor,Apartment,Mumbai,3757490,18133096,28,Website,4.5,4.8,0,2,2022-06-03,2025-11-18,Active,No
27,CUST-0027,Krishna Jain,Company,55,8147495138,Delhi,Delhi,India,569839,Business,IT,2728898,0–5L,Owner,Plot,Delhi,4691455,8635282,35,Ads,4,4.5,1,2,2023-03-28,2024-09-24,Active,No
28,CUST-0028,Aanya Chawla,Individual,44,8819788875,Ahmedabad,Gujarat,India,449907,Business,Finance,2234139,10L+,Seller,Villa,Ahmedabad,3469665,7729396,71,Walk-in,4.8,4.1,2,1,2021-04-26,2024-04-16,Active,Yes
29,CUST-0029,Aadhya Tiwari,Company,47,8918831173,Ahmedabad,Gujarat,India,518314,Salaried,Manufacturing,4494734,0–5L,Owner,Villa,Ahmedabad,4262380,16574342,31,Ads,4,3.3,0,2,2022-09-22,2024-09-20,Active,Yes
30,CUST-0030,Ishaan Joshi,Individual,55,8767854009,Delhi,Delhi,India,464355,Self Employed,Manufacturing,2595266,5–10L,Seller,Plot,Delhi,2110154,16991886,31,Website,4.6,3.4,1,0,2024-12-29,2025-09-17,Active,No
31,CUST-0031,Vihaan Mehta,Individual,60,8878434827,Chennai,Tamil Nadu,India,444587,Self Employed,Manufacturing,688101,10L+,Investor,Apartment,Chennai,4782887,16105725,30,Ads,3.6,3.8,1,0,2024-07-17,2025-11-10,Active,No
32,CUST-0032,Ritika Reddy,Company,28,8563187965,Delhi,Delhi,India,541114,Salaried,Manufacturing,3251613,10L+,Buyer,Apartment,Delhi,4325076,13043843,69,Ads,4.5,4.3,3,2,2024-05-14,2025-07-04,Active,Yes
33,CUST-0033,Aditya Chawla,Company,33,8346962118,Ahmedabad,Gujarat,India,408376,Salaried,IT,1254301,5–10L,Investor,Apartment,Ahmedabad,2278913,16391649,2,Referral,4.3,4.3,3,0,2021-01-06,2024-07-07,Active,No
34,CUST-0034,Dhruv Chopra,Individual,59,8986660962,Mumbai,Maharashtra,India,576707,Self Employed,Manufacturing,1589746,5–10L,Investor,Plot,Mumbai,2026128,12064663,13,Website,4.6,3.9,1,1,2024-10-22,2025-03-22,Active,No
35,CUST-0035,Isha Verma,Individual,52,8945392586,Hyderabad,Telangana,India,568088,Self Employed,Retail,4747011,0–5L,Buyer,Villa,Hyderabad,4325399,9716410,37,Website,4.9,3.6,1,2,2021-08-15,2024-10-11,Active,No
36,CUST-0036,Aryan Shah,Company,59,8461226108,Ahmedabad,Gujarat,India,505772,Self Employed,IT,563556,0–5L,Tenant,Apartment,Ahmedabad,2555688,19363903,27,Website,3.5,3.4,2,1,2021-01-25,2025-07-27,Active,No
37,CUST-0037,Navya Agarwal,Company,45,8805846365,Pune,Maharashtra,India,535279,Business,Finance,4303020,0–5L,Seller,Villa,Pune,3282257,11345832,22,Referral,3.1,4.9,0,0,2023-07-19,2024-06-03,Active,No
38,CUST-0038,Diya Sharma,Company,34,8772065040,Ahmedabad,Gujarat,India,421339,Business,IT,1787637,10L+,Buyer,Plot,Ahmedabad,4260925,18660262,15,Walk-in,3.9,3.7,2,2,2024-11-20,2025-10-09,Active,No
39,CUST-0039,Aadhya Khandelwal,Individual,51,8139282938,Mumbai,Maharashtra,India,568267,Business,Manufacturing,3688238,5–10L,Owner,Plot,Mumbai,2574244,17046959,4,Walk-in,4.8,5,1,0,2024-07-26,2025-02-05,Active,No
40,CUST-0040,Saanvi Kapoor,Individual,51,8991237054,Bangalore,Karnataka,India,390233,Business,Manufacturing,1214962,10L+,Buyer,Villa,Bangalore,3750634,15321138,24,Referral,3.9,3.8,2,0,2022-01-28,2025-05-08,Active,Yes
41,CUST-0041,Kabir Joshi,Company,35,8183774573,Mumbai,Maharashtra,India,518335,Business,IT,3218746,5–10L,Owner,Plot,Mumbai,2669554,18632897,51,Ads,4.9,4.5,1,0,2024-03-27,2024-08-23,Active,No
42,CUST-0042,Meera Mehta,Company,38,8745779382,Bangalore,Karnataka,India,398218,Self Employed,Finance,3205659,5–10L,Seller,Apartment,Bangalore,4594697,18952944,2,Referral,5,3.4,1,1,2022-05-03,2025-05-17,Active,No
43,CUST-0043,Esha Bhattacharya,Company,59,8539609653,Hyderabad,Telangana,India,408509,Salaried,IT,4976970,0–5L,Owner,Villa,Hyderabad,4382174,15877368,29,Website,4.3,4.8,0,1,2024-03-18,2025-06-29,Active,No
44,CUST-0044,Krishna Bhattacharya,Individual,33,8245328600,Pune,Maharashtra,India,514570,Business,Retail,1029266,10L+,Seller,Villa,Pune,4687045,12974271,84,Walk-in,4.8,5,1,2,2024-11-11,2025-04-13,Active,Yes
45,CUST-0045,Isha Joshi,Individual,54,8966519129,Bangalore,Karnataka,India,412528,Self Employed,Manufacturing,4674124,10L+,Investor,Plot,Bangalore,2938892,7138917,23,Referral,4.5,3.7,2,1,2024-07-11,2024-07-16,Active,Yes
46,CUST-0046,Pihu Malhotra,Company,57,8977823744,Ahmedabad,Gujarat,India,483234,Salaried,IT,4107932,0–5L,Seller,Plot,Ahmedabad,2274337,16841614,55,Website,4.5,3.1,3,1,2023-04-27,2025-10-09,Active,Yes
47,CUST-0047,Aditya Agarwal,Company,38,8145303263,Pune,Maharashtra,India,594910,Salaried,Manufacturing,4547432,10L+,Tenant,Villa,Pune,3866948,6223262,49,Ads,4.5,3.5,0,1,2021-08-24,2025-05-15,Active,No
48,CUST-0048,Yash Nair,Individual,60,8397166511,Ahmedabad,Gujarat,India,390622,Salaried,IT,2841381,5–10L,Investor,Plot,Ahmedabad,3662856,14353763,96,Referral,4.3,4.1,1,2,2023-06-04,2025-08-09,Active,No
49,CUST-0049,Ira Bhattacharya,Company,52,8812428039,Hyderabad,Telangana,India,534157,Salaried,Retail,1005203,5–10L,Buyer,Plot,Hyderabad,4723726,13160077,82,Walk-in,3.3,3.8,1,0,2022-06-09,2025-01-12,Active,Yes
50,CUST-0050,Harsh Reddy,Individual,52,8638764110,Ahmedabad,Gujarat,India,529405,Business,Finance,1255506,5–10L,Owner,Plot,Ahmedabad,3439397,15481774,85,Ads,3.8,3.6,1,1,2024-06-29,2024-04-26,Active,Yes
51,CUST-0051,Naina Kumar,Company,28,8682601918,Bangalore,Karnataka,India,464312,Salaried,IT,2828217,5–10L,Tenant,Plot,Bangalore,4445437,12608629,87,Website,3.7,4.1,1,1,2022-02-27,2024-01-13,Active,Yes
52,CUST-0052,Meera Bhattacharya,Company,32,8840698652,Pune,Maharashtra,India,394830,Self Employed,Finance,428542,0–5L,Tenant,Apartment,Pune,3203190,19403491,79,Walk-in,4.9,4.1,2,0,2023-09-05,2025-12-10,Active,No
53,CUST-0053,Esha Bhatia,Individual,48,8108808429,Pune,Maharashtra,India,524098,Salaried,Retail,1138241,5–10L,Investor,Villa,Pune,3652184,19042466,25,Referral,5,4.7,0,0,2023-01-25,2024-02-10,Active,Yes
54,CUST-0054,Vihaan Khandelwal,Individual,29,8520470807,Mumbai,Maharashtra,India,573533,Business,Finance,4568591,5–10L,Seller,Plot,Mumbai,2728716,17526299,87,Website,4.4,3.4,2,1,2022-07-02,2025-01-21,Active,No
55,CUST-0055,Diya Mehta,Company,60,8599612868,Bangalore,Karnataka,India,524246,Salaried,IT,420623,10L+,Seller,Villa,Bangalore,4189964,15639495,100,Ads,4.1,3.1,3,1,2021-08-13,2025-10-03,Active,Yes
56,CUST-0056,Sai Sharma,Individual,32,8779379917,Hyderabad,Telangana,India,522947,Self Employed,Finance,1144024,0–5L,Tenant,Plot,Hyderabad,4962239,6503425,74,Walk-in,4.9,4.5,1,2,2022-07-09,2024-01-15,Active,Yes
57,CUST-0057,Myra Jain,Individual,58,8957892924,Chennai,Tamil Nadu,India,563952,Business,Finance,4010304,0–5L,Owner,Plot,Chennai,2022336,12839962,55,Walk-in,4.5,4.5,1,0,2023-02-01,2025-02-05,Active,Yes
58,CUST-0058,Ishaan Trivedi,Individual,28,8187069261,Hyderabad,Telangana,India,418401,Self Employed,IT,2976788,10L+,Tenant,Villa,Hyderabad,4115747,6004170,33,Referral,3.7,4.1,0,0,2024-02-07,2025-06-22,Active,No
59,CUST-0059,Aarohi Nair,Individual,53,8135036241,Chennai,Tamil Nadu,India,450825,Salaried,IT,2086473,10L+,Seller,Plot,Chennai,3018774,9934356,30,Referral,3.3,3.2,0,0,2022-06-05,2025-03-30,Active,No
60,CUST-0060,Ira Saxena,Individual,60,8540181326,Bangalore,Karnataka,India,429845,Business,Finance,640097,10L+,Investor,Apartment,Bangalore,3055599,16891678,39,Referral,4.1,3.3,3,1,2022-02-18,2025-07-16,Active,Yes
61,CUST-0061,Riya Mahajan,Individual,43,8826256402,Pune,Maharashtra,India,543159,Self Employed,Finance,2342038,5–10L,Investor,Villa,Pune,2322477,8055283,38,Website,4,3.2,3,2,2024-02-26,2024-10-26,Active,Yes
62,CUST-0062,Mihir Saxena,Company,48,8316021663,Pune,Maharashtra,India,521105,Self Employed,Manufacturing,4029522,5–10L,Tenant,Apartment,Pune,3980581,6189507,58,Walk-in,3.6,3.6,3,1,2023-06-27,2025-05-03,Active,Yes
63,CUST-0063,Shivansh Nair,Company,50,8346728044,Mumbai,Maharashtra,India,536313,Self Employed,Retail,1002670,5–10L,Owner,Apartment,Mumbai,4920822,14237600,7,Walk-in,4.4,3.2,1,2,2022-02-26,2024-12-17,Active,No
64,CUST-0064,Esha Tiwari,Company,31,8960125381,Mumbai,Maharashtra,India,592042,Business,IT,1601062,0–5L,Seller,Villa,Mumbai,3260756,10386199,40,Walk-in,4.2,4.4,3,0,2024-10-28,2024-12-22,Active,Yes
65,CUST-0065,Ira Gupta,Company,60,8799032444,Pune,Maharashtra,India,523958,Self Employed,Retail,4696261,0–5L,Seller,Apartment,Pune,4814387,8079004,12,Ads,3.5,4.4,2,2,2024-04-28,2025-06-26,Active,No
66,CUST-0066,Rohan Gupta,Individual,30,8365032389,Mumbai,Maharashtra,India,524777,Business,Retail,4841320,0–5L,Owner,Villa,Mumbai,3190685,12047029,70,Walk-in,3.5,3.6,1,1,2021-12-23,2025-07-12,Active,Yes
67,CUST-0067,Saanvi Reddy,Individual,36,8500030031,Hyderabad,Telangana,India,525600,Salaried,Manufacturing,2152348,0–5L,Tenant,Plot,Hyderabad,3279091,7255511,45,Ads,3.4,3.8,2,2,2024-11-17,2025-09-07,Active,No
68,CUST-0068,Krishna Mehta,Company,29,8147828711,Mumbai,Maharashtra,India,513161,Self Employed,Finance,3420051,0–5L,Seller,Plot,Mumbai,4397764,10990370,29,Website,3.9,3.3,1,2,2023-08-17,2025-12-28,Active,No
69,CUST-0069,Yash Singh,Company,26,8963424441,Delhi,Delhi,India,528459,Self Employed,Retail,1950159,0–5L,Investor,Plot,Delhi,3183825,6596101,1,Walk-in,3.2,4.5,1,0,2024-05-22,2025-04-09,Active,No
70,CUST-0070,Rohan Desai,Individual,36,8768230958,Bangalore,Karnataka,India,475302,Self Employed,IT,610567,10L+,Buyer,Villa,Bangalore,3204123,11468527,26,Referral,3.1,3.9,0,2,2023-11-03,2024-06-11,Active,Yes
71,CUST-0071,Aditya Bhattacharya,Individual,44,8163941034,Bangalore,Karnataka,India,425107,Self Employed,Retail,1456019,10L+,Owner,Plot,Bangalore,4230900,11929497,45,Referral,4.2,4,0,2,2021-05-14,2024-02-01,Active,No
72,CUST-0072,Kabir Shah,Individual,52,8731303968,Delhi,Delhi,India,502406,Salaried,IT,3156110,0–5L,Investor,Apartment,Delhi,3475908,19934404,49,Walk-in,4.7,3.1,2,0,2021-12-23,2024-05-12,Active,No
73,CUST-0073,Isha Sharma,Individual,30,8653035037,Mumbai,Maharashtra,India,566636,Salaried,Manufacturing,3471278,0–5L,Seller,Villa,Mumbai,4292970,12785554,41,Website,4.4,3.9,0,1,2021-09-23,2024-11-04,Active,No
74,CUST-0074,Dhruv Nair,Company,57,8817912171,Bangalore,Karnataka,India,399874,Salaried,Retail,4845080,0–5L,Buyer,Plot,Bangalore,2090282,10893003,86,Ads,4.2,3.4,2,1,2022-11-18,2025-08-03,Active,Yes
75,CUST-0075,Aadhya Saxena,Individual,48,8865090443,Chennai,Tamil Nadu,India,569195,Salaried,Finance,3234337,0–5L,Investor,Villa,Chennai,3197068,6585157,66,Referral,4,4.5,2,1,2021-07-02,2024-11-02,Active,No
76,CUST-0076,Siddharth Khandelwal,Individual,32,8699671704,Ahmedabad,Gujarat,India,436244,Business,Finance,4473202,5–10L,Owner,Plot,Ahmedabad,4291674,14443490,12,Website,3.5,3.5,0,2,2023-07-18,2024-10-19,Active,Yes
77,CUST-0077,Isha Khandelwal,Company,28,8277429542,Hyderabad,Telangana,India,518669,Self Employed,IT,1761378,5–10L,Buyer,Villa,Hyderabad,4819017,10163630,91,Referral,4.1,4.1,2,2,2021-12-30,2024-11-25,Active,No
78,CUST-0078,Aadhya Mahajan,Individual,56,8199258006,Pune,Maharashtra,India,552001,Salaried,Retail,4986562,10L+,Investor,Plot,Pune,3275720,6506525,46,Referral,4.3,4.5,2,1,2022-09-28,2025-11-06,Active,No
79,CUST-0079,Aditya Verma,Individual,51,8899594664,Bangalore,Karnataka,India,592624,Business,IT,4250685,0–5L,Seller,Villa,Bangalore,4133686,11311843,11,Walk-in,4.7,4.8,3,1,2023-05-31,2024-06-25,Active,No
80,CUST-0080,Anika Shah,Individual,55,8257987792,Hyderabad,Telangana,India,575969,Self Employed,Finance,4472251,0–5L,Buyer,Villa,Hyderabad,4888417,17847905,92,Ads,4.8,4.9,2,1,2024-06-04,2024-10-23,Active,Yes
81,CUST-0081,Navya Desai,Company,57,8854067085,Chennai,Tamil Nadu,India,486462,Salaried,IT,4041760,0–5L,Seller,Villa,Chennai,3081240,12040103,5,Walk-in,4.5,3.8,1,0,2021-11-16,2024-08-27,Active,No
82,CUST-0082,Dhruv Desai,Individual,54,8533380462,Delhi,Delhi,India,426519,Salaried,IT,2388148,10L+,Seller,Plot,Delhi,2320618,17380030,23,Walk-in,3.7,4.4,1,0,2024-06-08,2024-04-16,Active,No
83,CUST-0083,Rohan Trivedi,Company,44,8760805931,Delhi,Delhi,India,398764,Self Employed,Manufacturing,3879407,5–10L,Investor,Plot,Delhi,4710892,11279745,55,Walk-in,4.6,4,2,0,2021-09-27,2025-10-28,Active,Yes
84,CUST-0084,Yash Reddy,Company,50,8838484738,Mumbai,Maharashtra,India,595307,Business,Manufacturing,4889976,5–10L,Investor,Apartment,Mumbai,3225535,8001227,19,Walk-in,4.3,3.4,3,2,2021-02-21,2025-11-05,Active,Yes
85,CUST-0085,Naina Jain,Company,27,8570856607,Mumbai,Maharashtra,India,462552,Business,Manufacturing,4818400,10L+,Seller,Apartment,Mumbai,3951307,10757199,93,Referral,4.3,3.1,0,1,2022-04-06,2025-03-09,Active,No
86,CUST-0086,Diya Patel,Company,55,8750433327,Chennai,Tamil Nadu,India,559443,Salaried,Retail,418320,10L+,Seller,Plot,Chennai,4028214,14065357,49,Walk-in,4.4,3.5,2,1,2023-06-22,2025-12-22,Active,No
87,CUST-0087,Aanya Verma,Company,32,8913028422,Bangalore,Karnataka,India,496797,Salaried,IT,3639736,5–10L,Investor,Apartment,Bangalore,2947619,13090183,28,Walk-in,3.4,4.8,0,0,2024-01-22,2024-06-02,Active,No
88,CUST-0088,Siddharth Sharma,Company,47,8175415615,Bangalore,Karnataka,India,529652,Business,Manufacturing,995479,10L+,Seller,Plot,Bangalore,2523964,12422939,46,Ads,4.8,3.4,0,1,2022-06-09,2025-09-05,Active,No
89,CUST-0089,Ishaan Nair,Individual,43,8840956508,Pune,Maharashtra,India,446162,Self Employed,Retail,2141946,0–5L,Tenant,Plot,Pune,3856113,14892925,26,Referral,3.9,3.6,2,0,2024-09-19,2024-05-17,Active,Yes
90,CUST-0090,Diya Saxena,Individual,57,8469941976,Hyderabad,Telangana,India,410868,Salaried,Retail,1701432,10L+,Owner,Plot,Hyderabad,3115192,16295324,67,Website,3.1,4.9,0,2,2023-02-23,2024-04-05,Active,Yes
91,CUST-0091,Aanya Saxena,Individual,37,8122503919,Delhi,Delhi,India,586473,Self Employed,Finance,2010003,0–5L,Owner,Apartment,Delhi,2692821,10423829,21,Website,4.1,3.2,2,2,2023-12-08,2024-01-26,Active,No
92,CUST-0092,Naina Saxena,Individual,44,8274583950,Delhi,Delhi,India,534322,Salaried,Manufacturing,3905961,5–10L,Owner,Plot,Delhi,2822913,19674522,4,Referral,4.2,4.6,0,1,2021-01-15,2024-10-25,Active,Yes
93,CUST-0093,Ananya Kapoor,Company,36,8784901633,Ahmedabad,Gujarat,India,461101,Salaried,Manufacturing,335678,0–5L,Buyer,Apartment,Ahmedabad,2572959,11285239,65,Referral,3.9,3.9,0,2,2021-05-03,2025-02-01,Active,Yes
94,CUST-0094,Rohan Mahajan,Company,52,8827214824,Chennai,Tamil Nadu,India,561666,Self Employed,IT,4658769,0–5L,Investor,Apartment,Chennai,4665198,19357161,95,Website,5,3.3,2,2,2024-03-13,2024-01-22,Active,Yes
95,CUST-0095,Saanvi Mehta,Individual,40,8693277066,Chennai,Tamil Nadu,India,428913,Salaried,Finance,4305313,5–10L,Investor,Villa,Chennai,2690855,17202315,8,Walk-in,3.2,4.5,0,1,2023-11-10,2025-12-30,Active,Yes
96,CUST-0096,Saanvi Bhattacharya,Individual,29,8547524771,Bangalore,Karnataka,India,508555,Business,Manufacturing,1985183,10L+,Buyer,Apartment,Bangalore,4352153,7824320,82,Ads,3.2,3.7,1,0,2021-02-12,2025-10-23,Active,No
97,CUST-0097,Ritika Jain,Individual,53,8983472858,Bangalore,Karnataka,India,441467,Salaried,Manufacturing,862008,10L+,Tenant,Apartment,Bangalore,3094149,10769315,44,Website,5,4.9,2,0,2022-02-13,2025-11-27,Active,Yes
98,CUST-0098,Pranav Tiwari,Individual,27,8505405611,Delhi,Delhi,India,468247,Self Employed,Manufacturing,1425456,10L+,Seller,Plot,Delhi,4309577,9121951,87,Ads,4.6,3.3,3,1,2022-11-12,2024-06-09,Active,No
99,CUST-0099,Yash Patel,Individual,38,8764506859,Chennai,Tamil Nadu,India,504438,Salaried,Finance,2738678,10L+,Tenant,Plot,Chennai,3770947,9793648,24,Ads,3.8,4.1,1,0,2024-11-13,2025-09-19,Active,No
100,CUST-0100,Harsh Mehta,Company,41,8297782307,Mumbai,Maharashtra,India,535848,Self Employed,Manufacturing,4422622,5–10L,Tenant,Plot,Mumbai,3425637,12592743,81,Ads,3.8,4.9,0,2,2022-03-07,2025-07-27,Active,Yes
101,CUST-0101,Navya Chopra,Individual,60,8330058435,Ahmedabad,Gujarat,India,551042,Self Employed,Finance,4933818,0–5L,Investor,Plot,Ahmedabad,4049319,11182464,24,Referral,3.7,4.8,1,0,2023-08-11,2024-11-27,Active,Yes
102,CUST-0102,Aryan Sharma,Company,60,8601056498,Delhi,Delhi,India,495580,Business,IT,2165340,0–5L,Tenant,Plot,Delhi,4457281,9506527,14,Ads,4.9,4.6,3,1,2021-08-09,2025-03-08,Active,Yes
103,CUST-0103,Isha Kapoor,Company,47,8303541933,Bangalore,Karnataka,India,520172,Salaried,Retail,1115423,0–5L,Buyer,Plot,Bangalore,3999630,18370601,63,Ads,3.9,4.5,2,1,2023-10-11,2024-05-07,Active,Yes
104,CUST-0104,Navya Joshi,Company,38,8493129674,Ahmedabad,Gujarat,India,567267,Self Employed,Manufacturing,1715610,0–5L,Owner,Villa,Ahmedabad,3834011,6862809,42,Referral,4.1,3.5,2,2,2021-01-10,2024-10-01,Active,No
105,CUST-0105,Aarav Trivedi,Company,30,8700668334,Mumbai,Maharashtra,India,583462,Business,Manufacturing,3308941,0–5L,Owner,Plot,Mumbai,2459855,18779474,8,Referral,4.2,4.4,1,0,2022-02-05,2025-11-25,Active,Yes
106,CUST-0106,Tara Desai,Company,55,8697389438,Chennai,Tamil Nadu,India,514671,Self Employed,IT,4021776,10L+,Tenant,Plot,Chennai,3612941,10022016,70,Ads,3.9,4.5,0,2,2023-12-14,2024-11-17,Active,No
107,CUST-0107,Saanvi Tiwari,Individual,38,8758658620,Hyderabad,Telangana,India,595945,Salaried,Retail,4575070,5–10L,Owner,Apartment,Hyderabad,3820301,12883593,76,Walk-in,3.3,3.6,0,2,2024-04-02,2025-07-05,Active,No
108,CUST-0108,Shivansh Khandelwal,Individual,55,8390180421,Mumbai,Maharashtra,India,531843,Business,IT,2356742,0–5L,Investor,Plot,Mumbai,4879830,11309609,39,Ads,3.8,3.3,3,1,2023-10-07,2025-03-19,Active,Yes
109,CUST-0109,Riya Agarwal,Individual,30,8636924705,Bangalore,Karnataka,India,550678,Self Employed,IT,4502541,5–10L,Seller,Plot,Bangalore,4606208,13977373,29,Ads,4.3,4.3,0,2,2024-08-28,2025-09-16,Active,Yes
